City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,korgen,66.0771,13.8153,269.36,97,100,1.93,NO,1676075682
261,san rafael,-34.6177,-68.3301,302.48,30,40,4.12,AR,1676075450
262,shingu,33.7333,135.9833,283.64,59,83,2.89,JP,1676075682
263,zabid,14.1951,43.3152,297.38,64,5,2.19,YE,1676075683
264,garowe,8.4054,48.4845,290.78,76,3,4.07,SO,1676075684
265,opuwo,-18.0607,13.84,292.9,54,5,2.43,NA,1676075684
266,touros,-5.1989,-35.4608,300.02,70,21,5.88,BR,1676075557
267,mukhen,48.1,136.1,263.39,84,68,1.37,RU,1676075685
268,pisco,-13.7,-76.2167,297.18,88,0,8.23,PE,1676075685
269,vikhorevka,56.1201,101.1636,249.92,100,59,1.5,RU,1676075686
270,traiguen,-38.25,-72.6833,287.47,68,0,3.95,CL,1676075687
271,kalengwa,-13.4659,25.0027,290.28,99,100,1.63,ZM,1676075687
272,high prairie,55.4334,-116.4858,275.37,74,100,5.69,CA,1676075688
273,batagay,67.6333,134.6333,225.63,99,72,0.68,RU,1676075688
274,belaya gora,68.5333,146.4167,226.37,99,82,0.66,RU,1676075689
275,courtenay,49.6866,-124.9936,283.26,62,75,3.09,CA,1676075689
276,vidim,56.4088,103.1106,246.39,100,99,1.0,RU,1676075690
277,tura,25.5198,90.2201,287.78,67,1,1.22,IN,1676075691
278,rocha,-34.4833,-54.3333,294.56,85,0,3.1,UY,1676075691
279,kalamazoo,42.2506,-85.55,271.31,64,0,4.12,US,1676075692
280,saint-joseph,-21.3667,55.6167,297.36,80,2,3.38,RE,1676075692
281,lodhikheda,21.5833,78.8333,292.19,24,0,1.73,IN,1676075693
282,cavalcante,-13.7975,-47.4583,295.13,73,25,0.64,BR,1676075693
283,bandarbeyla,9.4942,50.8122,297.72,68,66,8.88,SO,1676075694
284,killybegs,54.6333,-8.45,282.19,84,100,5.85,IE,1676075694
285,johnson city,36.3134,-82.3535,283.95,57,20,2.06,US,1676075417
286,codrington,-38.2667,141.9667,295.87,56,39,5.91,AU,1676075696
287,manali,13.1667,80.2667,296.2,77,100,2.12,IN,1676075696
288,ridgecrest,35.6225,-117.6709,291.07,14,75,3.09,US,1676075696
289,chemal,51.4111,86.005,257.37,96,100,1.82,RU,1676075697
290,potiskum,11.7091,11.0694,293.36,11,0,4.64,NG,1676075698
291,caravelas,-17.7125,-39.2481,297.89,85,6,2.77,BR,1676075698
292,berdigestyakh,62.0989,126.6992,239.5,97,99,0.59,RU,1676075699
293,masindi,1.6744,31.715,294.54,44,46,1.01,UG,1676075700
294,havelock,34.8791,-76.9013,292.13,88,0,2.57,US,1676075700
295,keti bandar,24.1447,67.4497,293.83,83,0,4.61,PK,1676075701
296,lenoir,35.2335,-77.6497,294.31,56,75,0.0,US,1676075702
297,hirado,33.3597,129.5531,285.03,61,100,6.66,JP,1676075702
298,avera,33.194,-82.5271,287.9,76,100,1.44,US,1676075703
299,nanortalik,60.1432,-45.2371,264.54,69,100,10.18,GL,1676075704
300,presidencia roque saenz pena,-26.7852,-60.4388,301.79,48,4,2.38,AR,1676075704
301,baherden,38.4362,57.4316,271.64,71,11,1.91,TM,1676075705
302,show low,34.2542,-110.0298,280.31,16,0,3.09,US,1676075706
303,sisimiut,66.9395,-53.6735,245.88,100,91,2.19,GL,1676075706
304,bela,25.9333,81.9833,287.81,47,0,0.88,IN,1676075707
305,najran,17.4924,44.1277,285.51,43,0,0.4,SA,1676075561
306,denizli,37.8402,29.0698,272.45,71,1,0.9,TR,1676075708
307,arman,59.7,150.1667,257.23,91,100,3.53,RU,1676075709
308,salinopolis,-0.6136,-47.3561,299.02,85,90,3.31,BR,1676075709
309,marzuq,14.4,46.4667,288.81,68,0,0.63,YE,1676075710
310,santo augusto,-27.8508,-53.7772,296.23,62,70,4.18,BR,1676075710
311,tingi,-11.3,35.0333,290.83,79,80,1.82,TZ,1676075711
312,kondinskoye,59.6481,67.41,263.56,95,98,5.93,RU,1676075712
313,omboue,-1.5746,9.2618,299.45,87,100,2.35,GA,1676075713
314,naron,43.5167,-8.1528,281.26,77,0,2.47,ES,1676075713
315,ponta do sol,32.6667,-17.1,287.04,80,100,5.72,PT,1676075714
316,ayan,56.45,138.1667,251.61,75,21,1.64,RU,1676075538
317,burgeo,47.6167,-57.6152,272.63,95,100,13.84,CA,1676075421
318,robe,-37.1833,139.75,290.41,83,100,8.65,AU,1676075715
319,otradnoye,59.7775,30.8181,271.46,88,100,4.23,RU,1676075715
320,limbdi,22.5667,71.8,292.13,65,0,4.05,IN,1676075716
321,samarai,-10.6167,150.6667,299.86,84,100,3.46,PG,1676075716
322,sitka,57.0531,-135.33,277.09,60,100,4.63,US,1676075717
323,lubao,14.9167,120.55,298.99,64,87,4.32,PH,1676075718
324,warragul,-38.1667,145.9333,304.79,27,0,1.35,AU,1676075718
325,obo,5.3998,26.4869,295.54,32,15,1.04,CF,1676075719
326,margate,51.3813,1.3862,279.75,82,100,0.89,GB,1676075719
327,bereda,43.2686,-7.5406,274.49,97,3,0.66,ES,1676075720
328,lebu,-37.6167,-73.65,288.21,87,0,5.89,CL,1676075720
329,snasa,64.2457,12.3778,269.82,98,95,1.91,NO,1676075721
330,shimoda,34.6667,138.95,286.35,74,97,3.69,JP,1676075722
331,visby,57.6409,18.296,277.27,87,100,11.83,SE,1676075502
332,sorong,-0.8833,131.25,300.81,77,100,2.87,ID,1676075722
333,fort nelson,58.8053,-122.7002,266.92,73,20,2.06,CA,1676075723
334,tishchenskoye,45.4606,41.6738,263.95,96,95,1.76,RU,1676075723
335,leningradskiy,69.3833,178.4167,244.17,96,100,5.26,RU,1676075724
336,alcudia,39.8532,3.1214,278.36,63,0,0.95,ES,1676075725
337,aksu,41.1231,80.2644,272.11,64,100,1.47,CN,1676075725
338,perth,-31.9333,115.8333,294.08,66,20,5.66,AU,1676075461
339,aasiaat,68.7098,-52.8699,246.76,93,100,3.12,GL,1676075726
340,deming,32.2687,-107.7586,282.09,20,0,2.57,US,1676075727
341,talara,-4.5772,-81.2719,300.57,65,75,3.6,PE,1676075727
342,hualmay,-11.0964,-77.6139,295.96,84,100,3.17,PE,1676075728
343,sao joao da barra,-21.6403,-41.0511,299.2,87,100,8.23,BR,1676075497
344,le port,-20.9373,55.2919,298.15,76,0,2.2,RE,1676075729
345,los llanos de aridane,28.6585,-17.9182,287.01,92,75,1.54,ES,1676075729
346,husavik,66.0449,-17.3389,276.33,74,100,8.18,IS,1676075730
347,ballina,-28.8667,153.5667,300.94,62,0,3.98,AU,1676075731
348,ahipara,-35.1667,173.1667,293.8,75,100,6.44,NZ,1676075731
349,guerrero negro,27.9769,-114.0611,292.79,29,81,4.71,MX,1676075732
350,yumen,40.2833,97.2,269.61,46,100,0.92,CN,1676075733
351,mount isa,-20.7333,139.5,304.02,45,10,5.66,AU,1676075733
352,ewa beach,21.3156,-158.0072,301.12,51,0,14.4,US,1676075734
353,panama city,8.9936,-79.5197,301.12,71,0,4.63,PA,1676075679
354,gat,31.61,34.7642,283.93,68,0,0.57,IL,1676075735
355,mangai,-4.05,19.5333,295.99,62,96,0.6,CD,1676075735
356,czarnkow,52.9021,16.5641,274.5,77,100,7.35,PL,1676075736
357,panjab,34.388,67.0233,247.95,99,62,2.42,AF,1676075736
358,brae,60.3964,-1.353,281.46,79,100,11.1,GB,1676075737
359,port lincoln,-34.7333,135.8667,294.63,61,0,6.63,AU,1676075737
360,vung tau,10.346,107.0843,298.59,78,91,6.68,VN,1676075612
361,west lorne,42.6001,-81.5998,272.42,72,66,7.48,CA,1676075738
362,hasaki,35.7333,140.8333,281.37,53,0,11.68,JP,1676075739
363,zhezkazgan,47.8043,67.7144,257.85,98,100,2.09,KZ,1676075739
364,adiake,5.2863,-3.304,298.81,89,2,2.1,CI,1676075740
365,palu,-0.8917,119.8707,302.23,63,100,0.24,ID,1676075740
366,tuatapere,-46.1333,167.6833,293.15,47,82,2.15,NZ,1676075741
367,lorengau,-2.0226,147.2712,300.51,79,100,2.71,PG,1676075742
